sentence_id,1-gram_add1,1-gram_addk,1-gram_tokentype,2-gram_add1,2-gram_addk,2-gram_tokentype,3-gram_add1,3-gram_addk,3-gram_tokentype,4-gram_add1,4-gram_addk,4-gram_tokentype
81,6.3115381214075555e-96,2.4109453912684724e-95,1.2980967936835339e-120,1.1530708462338938e-109,5.313374972521692e-104,4.620618242288442e-118,3.0273411676355344e-112,1.7231147424992843e-106,1.8789795293015945e-113,3.3739118402881576e-113,2.0394963828003484e-107,3.3739118402881576e-113
82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83,1.8680189467812101e-78,8.592065597932179e-78,1.3638964937328647e-104,1.0680429183468173e-91,2.192957160867848e-86,1.3843100750263218e-102,1.4989329899688128e-97,1.77202307250729e-92,4.96836149350922e-100,2.3106200930131442e-98,2.759276348930577e-93,9.750786868036085e-99
84,9.25640351761523e-288,5.552604224996699e-286,0.0,2.144e-321,7.433284029612086e-301,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85,8.46661565802522e-86,3.266926956795813e-85,1.6198504687285977e-112,1.320325214374908e-99,5.679911082568399e-94,6.705510448354216e-111,2.6165873900743064e-105,5.787420409561454e-100,2.269815427753659e-107,8.829830347656917e-106,2.372474238515903e-100,6.623019982474583e-106
86,1.5091004129671828e-199,1.1941021266085415e-198,2.5325013287172977e-248,1.6706816485804383e-218,2.5445812820822446e-206,2.1133859687527513e-241,1.2370386181716158e-226,1.1556167593269825e-214,2.610820156074695e-231,1.550945879423751e-231,4.933226232670502e-220,4.889127478693692e-233
87,1.7458165095548111e-62,1.379870089670976e-62,8.544538825461128e-65,7.153168121807361e-59,1.2908817953512556e-55,5.883177307691637e-62,1.4153342777323135e-60,2.6335259719308624e-57,1.9952166697177588e-61,2.8381406637386467e-61,5.883184146574031e-58,1.7743580002299797e-61
88,6.518084019240486e-77,2.5242385345767108e-76,1.007590988003683e-92,2.3661928020048422e-84,9.159173752859871e-80,4.403607012302605e-91,6.175918271114389e-87,1.6361952803486896e-82,2.946522035226612e-88,3.094906128692357e-87,1.0957083600610449e-82,3.094906128692357e-87
89,1.3506954033646218e-178,1.9346918916664842e-178,1.3443111451902307e-212,9.03169732958344e-192,1.554405272769169e-181,1.2748441357442835e-206,3.352281858233886e-197,2.9997396469980194e-187,2.831965224466461e-200,1.669078469827858e-198,1.1291045886932633e-188,3.5227773984814965e-199
90,2.934553413056294e-72,1.0228388642544136e-71,1.10438121299543e-92,1.780878436855334e-80,1.2016464916839588e-75,1.1890856544691906e-90,2.572722610023482e-85,1.1476301600567785e-80,1.4811678179385056e-87,3.093998915877973e-87,1.0950661971285262e-82,1.5474530643461784e-87
91,3.1045756016615005e-55,6.2325446654882796e-55,8.204568275385623e-65,3.7545843276484164e-59,7.923808237634799e-56,9.62078073562093e-64,1.2759158862441108e-60,2.4465417850062764e-57,1.5522850876287765e-61,2.8384179613014527e-61,5.8843333180259276e-58,1.5969222002069825e-61
92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
93,5.788982713893208e-23,1.254559561268444e-22,1.1367359632503796e-28,5.10153725463864e-26,1.954370479672805e-24,2.0839760621807143e-28,1.3609581058055561e-27,5.50112905998364e-26,4.259600883089871e-28,6.81610157752127e-28,3.679615891094895e-26,6.81610157752127e-28
94,5.7006209812938546e-127,6.620314461320688e-126,1.4605613085439542e-164,6.47737060433859e-145,1.758408287445655e-136,2.484578064059038e-162,4.104644205058214e-152,3.5961088978013575e-144,5.343301214541911e-156,1.2067394949833657e-153,7.7729896482916845e-146,2.2292425135259866e-154
95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
